Количество треков,Способ расчёта,Номер повтора,Начало (нс),Конец (нс),Длительность (нс)
5000,Цикл for,1,93913113457400,93913114724200,1266800
5000,Стандартные коллекторы,1,93913119537900,93913119912700,374800
5000,Собственный коллектор,1,93913119964600,93913120146700,182100
5000,Стандартные коллекторы,2,93913120176000,93913120358400,182400
5000,Собственный коллектор,2,93913120405500,93913120529900,124400
5000,Цикл for,2,93913120575400,93913121577900,1002500
5000,Собственный коллектор,3,93913121651900,93913121818200,166300
5000,Цикл for,3,93913121882000,93913122112000,230000
5000,Стандартные коллекторы,3,93913122151300,93913122355600,204300
5000,Цикл for,4,93913122398400,93913122568500,170100
5000,Стандартные коллекторы,4,93913122611100,93913122792900,181800
5000,Собственный коллектор,4,93913122835800,93913122952400,116600
5000,Стандартные коллекторы,5,93913122972400,93913123154700,182300
5000,Собственный коллектор,5,93913123179900,93913123317300,137400
5000,Цикл for,5,93913123341900,93913123528200,186300
5000,Собственный коллектор,6,93913123557600,93913123682900,125300
5000,Цикл for,6,93913123699600,93913123886000,186400
5000,Стандартные коллекторы,6,93913123901300,93913124175400,274100
5000,Цикл for,7,93913124206800,93913124493300,286500
5000,Стандартные коллекторы,7,93913124548500,93913125044300,495800
5000,Собственный коллектор,7,93913125098100,93913125445500,347400
50000,Цикл for,1,93913321359700,93913322686500,1326800
50000,Стандартные коллекторы,1,93913322778400,93913324444700,1666300
50000,Собственный коллектор,1,93913324485600,93913325691000,1205400
50000,Стандартные коллекторы,2,93913325713300,93913326998000,1284700
50000,Собственный коллектор,2,93913327022200,93913328204500,1182300
50000,Цикл for,2,93913328257200,93913329831200,1574000
50000,Собственный коллектор,3,93913329915300,93913332485400,2570100
50000,Цикл for,3,93913332524800,93913333951300,1426500
50000,Стандартные коллекторы,3,93913333980700,93913335516600,1535900
50000,Цикл for,4,93913335547600,93913337561100,2013500
50000,Стандартные коллекторы,4,93913337690200,93913342059700,4369500
50000,Собственный коллектор,4,93913342156700,93913346122900,3966200
50000,Стандартные коллекторы,5,93913346247400,93913349181300,2933900
50000,Собственный коллектор,5,93913349237500,93913351945100,2707600
50000,Цикл for,5,93913351994700,93913353626300,1631600
50000,Собственный коллектор,6,93913353667500,93913355114100,1446600
50000,Цикл for,6,93913355142400,93913356740000,1597600
50000,Стандартные коллекторы,6,93913356776000,93913358616300,1840300
50000,Цикл for,7,93913358658300,93913360069600,1411300
50000,Стандартные коллекторы,7,93913360096300,93913361865500,1769200
50000,Собственный коллектор,7,93913361891700,93913363556400,1664700
250000,Цикл for,1,93913724476800,93913731628000,7151200
250000,Стандартные коллекторы,1,93913731692800,93913738258400,6565600
250000,Собственный коллектор,1,93913738292100,93913749649600,11357500
250000,Стандартные коллекторы,2,93913749736700,93913757626900,7890200
250000,Собственный коллектор,2,93913757671900,93913766094800,8422900
250000,Цикл for,2,93913766138200,93913771487600,5349400
250000,Собственный коллектор,3,93913771550500,93913778255400,6704900
250000,Цикл for,3,93913778302900,93913784155100,5852200
250000,Стандартные коллекторы,3,93913784197800,93913789111800,4914000
250000,Цикл for,4,93913789139000,93913794189400,5050400
250000,Стандартные коллекторы,4,93913794222400,93913799708600,5486200
250000,Собственный коллектор,4,93913799787400,93913805946200,6158800
250000,Стандартные коллекторы,5,93913805988400,93913811271400,5283000
250000,Собственный коллектор,5,93913811302900,93913816209500,4906600
250000,Цикл for,5,93913816241200,93913820984800,4743600
250000,Собственный коллектор,6,93913821014400,93913826149000,5134600
250000,Цикл for,6,93913826182800,93913831205400,5022600
250000,Стандартные коллекторы,6,93913831245000,93913836211000,4966000
250000,Цикл for,7,93913836240200,93913841153900,4913700
250000,Стандартные коллекторы,7,93913841191600,93913846623200,5431600
250000,Собственный коллектор,7,93913846659300,93913851747800,5088500
